Epoch 1 | Loss: 0.5443 | Test Acc: 0.6646 | Time: 931.81s
Epoch 2 | Loss: 0.2285 | Test Acc: 0.7320 | Time: 927.50s
Epoch 3 | Loss: 0.2117 | Test Acc: 0.6818 | Time: 927.71s
Epoch 4 | Loss: 0.2010 | Test Acc: 0.7529 | Time: 927.03s
Epoch 5 | Loss: 0.1948 | Test Acc: 0.7537 | Time: 927.90s
Epoch 6 | Loss: 0.1911 | Test Acc: 0.7533 | Time: 927.74s
Epoch 7 | Loss: 0.1883 | Test Acc: 0.7610 | Time: 928.02s
Epoch 8 | Loss: 0.1862 | Test Acc: 0.7422 | Time: 929.46s
Epoch 9 | Loss: 0.1842 | Test Acc: 0.7540 | Time: 928.95s
Epoch 10 | Loss: 0.1825 | Test Acc: 0.7637 | Time: 931.85s
Epoch 11 | Loss: 0.1811 | Test Acc: 0.7534 | Time: 932.79s
Epoch 12 | Loss: 0.1796 | Test Acc: 0.7695 | Time: 933.78s
Epoch 13 | Loss: 0.1787 | Test Acc: 0.7427 | Time: 933.17s
Epoch 14 | Loss: 0.1772 | Test Acc: 0.7609 | Time: 934.32s
Epoch 15 | Loss: 0.1760 | Test Acc: 0.7650 | Time: 934.31s
Epoch 16 | Loss: 0.1748 | Test Acc: 0.7614 | Time: 934.91s
Epoch 17 | Loss: 0.1742 | Test Acc: 0.7674 | Time: 934.27s
Epoch 18 | Loss: 0.1739 | Test Acc: 0.7526 | Time: 934.62s
Epoch 19 | Loss: 0.1735 | Test Acc: 0.7567 | Time: 933.75s
Epoch 20 | Loss: 0.1734 | Test Acc: 0.7698 | Time: 934.41s
